"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/07/30 5:24:05 PM CDT","2020-07-30","Castillo Lara","Moscos","No","","","Sí","12","06","Sí","01","5","4","Ninguno"
"2020/07/30 6:26:50 PM CDT","2020-07-30","Cantón 21","Moscos","Sí","8","6","Sí","12","10","Sí","4","4","4",""
"2020/07/30 6:28:58 PM CDT","2020-07-30","Cantón 21","Infantil","Sí","10","9","Sí","15","12","Sí","4","4","4",""
"2020/07/30 6:32:44 PM CDT","2020-07-30","Cantón 21","Intermedia","Sí","10","7","Sí","14","11","Sí","5","4","4",""
"2020/07/30 6:33:29 PM CDT","2020-07-30","Cantón 21","Juvenil","Sí","8","7","Sí","15","14","Sí","6","4","4",""
"2020/07/30 6:47:45 PM CDT","2020-07-30","Roosevelt","Moscos","Sí","5","","Sí","22","16","Sí","3","3","3","Informa: Diana cotzajay"
"2020/07/30 6:50:08 PM CDT","2020-07-30","Roosevelt","Juvenil","Sí","6","3","Sí","21","","Sí","1","3","3","Informa: Jorge Luis Velásquez"
"2020/07/30 7:23:02 PM CDT","2020-07-29","Alameda","Sub-15","No","","","Sí","3","15","Sí","1","4","1",""
"2020/07/30 7:23:56 PM CDT","2020-07-30","Proyecto 4-10","Sub-15","No","","","Sí","2","15","Sí","1","4","1",""
"2020/07/30 7:54:57 PM CDT","2020-07-30","Justo Rufino Barrios","Moscos","Sí","11","11","Sí","11","11","Sí","4","5","5","Siempre trabajamos en casa con diferente ejercicios"
"2020/07/30 8:27:37 PM CDT","2020-07-30","Nimajuyú","Juvenil","No","","","Sí","16","13","Sí","2","4","1",""
"2020/07/31 10:42:39 AM CDT","2020-07-31","Muniguate","Equipo Mayor","No","","","Sí","22","","Sí","5","5","5","Continuamos con teletrabajo"
"2020/07/31 11:13:58 AM CDT","2020-07-31","Milles Rock","Intermedia","Sí","15","15","Sí","15","15","Sí","1","5","5",""
